
Host: sophon

Timers On : Sat Feb  4 17:10:33 2023
Timers Off: Sat Feb  4 17:15:17 2023

Wall Time:      284.42 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.000w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.117u      0.000s      0.080w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls

**************************************************************************************

Host: sophon

Timers On : Sun Feb  5 15:32:42 2023
Timers Off: Sun Feb  5 15:33:00 2023

Wall Time:       17.89 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.003w      3 calls
DFH: initialize()                   :      0.017u      0.000s      0.010w      1 calls
DFH: AO Construction                :      0.017u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.050u      0.000s      0.030w      1 calls
SAD Guess                           :      0.050u      0.000s      0.028w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      8 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.000u      0.000s      0.001w      8 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.001w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w      8 calls
DFH: compute_K                      :      0.000u      0.000s      0.000w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.033u      0.000s      0.019w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      1 calls
DFH: initialize()                   :      0.017u      0.000s      0.010w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      2 calls
| DFH: AO Construction              :      0.017u      0.000s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.050u      0.000s      0.030w      1 calls
| SAD Guess                         :      0.050u      0.000s      0.028w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      8 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.001w      8 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.000w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.033u      0.000s      0.019w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls

**************************************************************************************

Host: sophon

Timers On : Sun Feb  5 15:34:39 2023
Timers Off: Sun Feb  5 15:34:47 2023

Wall Time:        8.55 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.003w      3 calls
DFH: initialize()                   :      0.017u      0.000s      0.010w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.050u      0.000s      0.030w      1 calls
SAD Guess                           :      0.050u      0.000s      0.028w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      8 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.000u      0.000s      0.001w      8 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.001w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w      8 calls
DFH: compute_K                      :      0.000u      0.000s      0.000w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.033u      0.000s      0.019w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      1 calls
DFH: initialize()                   :      0.017u      0.000s      0.010w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      2 calls
| DFH: AO Construction              :      0.000u      0.000s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.050u      0.000s      0.030w      1 calls
| SAD Guess                         :      0.050u      0.000s      0.028w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      8 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.001w      8 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.000w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.033u      0.000s      0.019w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls

**************************************************************************************

Host: sophon

Timers On : Sun Feb  5 15:42:29 2023
Timers Off: Sun Feb  5 15:42:39 2023

Wall Time:       10.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.003w      3 calls
DFH: initialize()                   :      0.017u      0.000s      0.010w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.033u      0.000s      0.030w      1 calls
SAD Guess                           :      0.033u      0.000s      0.028w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      8 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.000u      0.000s      0.001w      8 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.001w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w      8 calls
DFH: compute_K                      :      0.000u      0.000s      0.000w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.017u      0.000s      0.053w      7 calls
HF: Form C                          :      0.017u      0.000s      0.002w      7 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      1 calls
DFH: initialize()                   :      0.017u      0.000s      0.010w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      2 calls
| DFH: AO Construction              :      0.000u      0.000s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.033u      0.000s      0.030w      1 calls
| SAD Guess                         :      0.033u      0.000s      0.028w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      8 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.001w      8 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.000w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.017u      0.000s      0.053w      7 calls
HF: Form C                          :      0.017u      0.000s      0.002w      7 calls

**************************************************************************************

Host: sophon

Timers On : Sun Feb  5 15:53:22 2023
Timers Off: Sun Feb  5 15:53:36 2023

Wall Time:       13.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.004w      3 calls
DFH: initialize()                   :      0.000u      0.000s      0.010w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.050u      0.000s      0.030w      1 calls
SAD Guess                           :      0.050u      0.000s      0.028w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      8 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.000u      0.000s      0.001w      8 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.001w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w      8 calls
DFH: compute_K                      :      0.000u      0.000s      0.000w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.017u      0.017s      0.018w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.010w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      2 calls
| DFH: AO Construction              :      0.000u      0.000s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.050u      0.000s      0.030w      1 calls
| SAD Guess                         :      0.050u      0.000s      0.028w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      8 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.001w      8 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.000w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.017u      0.017s      0.018w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls

**************************************************************************************

Host: sophon

Timers On : Sun Feb  5 16:00:06 2023
Timers Off: Sun Feb  5 16:00:52 2023

Wall Time:       45.90 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.003w      3 calls
DFH: initialize()                   :      0.017u      0.000s      0.010w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.050u      0.000s      0.030w      1 calls
SAD Guess                           :      0.033u      0.000s      0.028w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      8 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.000u      0.000s      0.001w      8 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.001w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w      8 calls
DFH: compute_K                      :      0.000u      0.000s      0.000w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.050u      0.000s      0.019w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      1 calls
DFH: initialize()                   :      0.017u      0.000s      0.010w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      2 calls
| DFH: AO Construction              :      0.000u      0.000s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.050u      0.000s      0.030w      1 calls
| SAD Guess                         :      0.033u      0.000s      0.028w      1 calls
HF: Form G                          :      0.000u      0.000s      0.001w      8 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.001w      8 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.000w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.050u      0.000s      0.019w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls

**************************************************************************************

Host: sophon

Timers On : Sun Feb  5 16:22:11 2023
Timers Off: Sun Feb  5 16:22:45 2023

Wall Time:       33.63 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: sophon

Timers On : Sun Feb  5 16:22:48 2023
Timers Off: Sun Feb  5 17:58:21 2023

Wall Time:     5733.17 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.050u      0.000s      0.066w     26 calls
Libint2ERI::Libint2ERI              :      0.100u      0.000s      0.086w    194 calls
DFH: initialize()                   :      0.417u      0.017s      0.233w     26 calls
DFH: AO Construction                :      0.050u      0.000s      0.027w     26 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.004w     26 calls
HF: Form core H                     :      0.033u      0.000s      0.077w     30 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     30 calls
HF: Guess                           :      0.367u      0.000s      0.238w     30 calls
SAD Guess                           :      0.350u      0.000s      0.221w      7 calls
HF: Form G                          :      0.000u      0.000s      0.033w    290 calls
JK: D                               :      0.000u      0.000s      0.002w    290 calls
JK: USO2AO                          :      0.000u      0.000s      0.004w    290 calls
JK: JK                              :      0.000u      0.000s      0.021w    290 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.020w    244 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    244 calls
DFH: compute_J                      :      0.000u      0.000s      0.004w    244 calls
DFH: compute_K                      :      0.000u      0.000s      0.008w    244 calls
PK computes JK                      :      0.000u      0.000s      0.001w     46 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    290 calls
HF: Form F                          :      0.000u      0.000s      0.002w    290 calls
HF: Form D                          :      0.000u      0.000s      0.001w    290 calls
HF: DIIS                            :      1.150u      0.017s      0.684w    283 calls
HF: Form C                          :      0.100u      0.000s      0.071w    283 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.005w     25 calls
Grad: S                             :      0.000u      0.000s      0.002w     25 calls
Grad: JK                            :      0.700u      0.033s      0.641w     25 calls
JKGrad: Amn                         :      0.100u      0.017s      0.092w     25 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     25 calls
JKGrad: AB                          :      0.267u      0.017s      0.148w     25 calls
JKGrad: UV                          :      0.000u      0.000s      0.003w     25 calls
JKGrad: ABx                         :      0.117u      0.000s      0.083w     25 calls
JKGrad: Amnx                        :      0.183u      0.000s      0.139w     25 calls
Grad: XC                            :      0.000u      0.000s      0.000w     25 calls
Total PK formation time             :      0.050u      0.000s      0.032w      4 calls
ccenergy                            :      0.417u      0.650s      0.958w      4 calls
F build                             :      0.050u      0.017s      0.027w     42 calls
Wmbej build                         :      0.050u      0.050s      0.033w     42 calls
C->Wmbej                            :      0.000u      0.000s      0.002w     42 calls
F->Wmbej                            :      0.000u      0.017s      0.015w     42 calls
E->Wmbej                            :      0.000u      0.017s      0.006w     42 calls
X->Wmbej                            :      0.050u      0.017s      0.008w     42 calls
Z                                   :      0.000u      0.000s      0.002w     42 calls
T2 Build                            :      0.067u      0.067s      0.072w     42 calls
BT2                                 :      0.033u      0.000s      0.019w     42 calls
ABCD:new                            :      0.050u      0.000s      0.034w     78 calls
ABCD:S                              :      0.000u      0.000s      0.003w     78 calls
ABCD:A                              :      0.000u      0.000s      0.002w     78 calls
ABCD:axpy                           :      0.050u      0.000s      0.021w     78 calls
FT2                                 :      0.000u      0.017s      0.004w     42 calls
WmbejT2                             :      0.000u      0.033s      0.012w     42 calls
CT2                                 :      0.017u      0.017s      0.024w     42 calls
cctriples                           :      0.117u      0.083s      0.483w      4 calls
ET_RHF                              :      0.000u      0.000s      0.010w      4 calls
malloc)                             :      0.000u      0.000s      0.001w    500 calls
N7 Terms(ijk)                       :      0.017u      0.033s      0.028w    500 calls
T3(d) Terms(ijk)                    :      0.017u      0.000s      0.002w    500 calls
malloc                              :      0.000u      0.000s      0.006w   4596 calls
N7 Terms(abc)                       :      0.017u      0.000s      0.017w   2048 calls
T3(d) Terms(abc)                    :      0.000u      0.000s      0.003w   2048 calls
cchbar                              :      0.050u      0.083s      0.136w      4 calls
cclambda                            :      0.150u      0.100s      0.203w      4 calls
ccdensity                           :      0.083u      0.133s      0.152w      4 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.050u      0.000s      0.066w     26 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.022w     26 calls
DFH: initialize()                   :      0.417u      0.017s      0.233w     26 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.015w     52 calls
| DFH: AO Construction              :      0.050u      0.000s      0.027w     26 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.004w     26 calls
HF: Form core H                     :      0.033u      0.000s      0.077w     30 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     30 calls
HF: Guess                           :      0.367u      0.000s      0.238w     30 calls
| SAD Guess                         :      0.350u      0.000s      0.221w      7 calls
HF: Form G                          :      0.000u      0.000s      0.033w    290 calls
| JK: D                             :      0.000u      0.000s      0.002w    290 calls
| JK: USO2AO                        :      0.000u      0.000s      0.004w    290 calls
| JK: JK                            :      0.000u      0.000s      0.021w    290 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.020w    244 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    244 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.004w    244 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.008w    244 calls
| | PK computes JK                  :      0.000u      0.000s      0.001w     46 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    290 calls
HF: Form F                          :      0.000u      0.000s      0.002w    290 calls
HF: Form D                          :      0.000u      0.000s      0.001w    290 calls
HF: DIIS                            :      1.150u      0.017s      0.684w    283 calls
HF: Form C                          :      0.100u      0.000s      0.071w    283 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.005w     25 calls
Grad: S                             :      0.000u      0.000s      0.002w     25 calls
Grad: JK                            :      0.700u      0.033s      0.641w     25 calls
| JKGrad: Amn                       :      0.100u      0.017s      0.092w     25 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.016w     25 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     25 calls
| JKGrad: AB                        :      0.267u      0.017s      0.148w     25 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     25 calls
| JKGrad: UV                        :      0.000u      0.000s      0.003w     25 calls
| JKGrad: ABx                       :      0.117u      0.000s      0.083w     25 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     25 calls
| JKGrad: Amnx                      :      0.183u      0.000s      0.139w     25 calls
| | Libint2ERI::Libint2ERI          :      0.050u      0.000s      0.015w     25 calls
Grad: XC                            :      0.000u      0.000s      0.000w     25 calls
Total PK formation time             :      0.050u      0.000s      0.032w      4 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.006w      8 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.011w      8 calls
ccenergy                            :      0.417u      0.650s      0.958w      4 calls
| F build                           :      0.050u      0.017s      0.027w     42 calls
| Wmbej build                       :      0.050u      0.050s      0.033w     42 calls
| | C->Wmbej                        :      0.000u      0.000s      0.002w     42 calls
| | F->Wmbej                        :      0.000u      0.017s      0.015w     42 calls
| | E->Wmbej                        :      0.000u      0.017s      0.006w     42 calls
| | X->Wmbej                        :      0.050u      0.017s      0.008w     42 calls
| Z                                 :      0.000u      0.000s      0.002w     42 calls
| T2 Build                          :      0.067u      0.067s      0.072w     42 calls
| | BT2                             :      0.033u      0.000s      0.019w     42 calls
| | | ABCD:new                      :      0.033u      0.000s      0.019w     42 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.001w     42 calls
| | | | ABCD:A                      :      0.000u      0.000s      0.001w     42 calls
| | | | ABCD:axpy                   :      0.033u      0.000s      0.011w     42 calls
| | FT2                             :      0.000u      0.017s      0.004w     42 calls
| | WmbejT2                         :      0.000u      0.033s      0.012w     42 calls
| | CT2                             :      0.017u      0.017s      0.024w     42 calls
cctriples                           :      0.117u      0.083s      0.483w      4 calls
| ET_RHF                            :      0.000u      0.000s      0.010w      4 calls
| malloc)                           :      0.000u      0.000s      0.001w    500 calls
| N7 Terms(ijk)                     :      0.017u      0.033s      0.028w    500 calls
| T3(d) Terms(ijk)                  :      0.017u      0.000s      0.002w    500 calls
| malloc                            :      0.000u      0.000s      0.006w   4596 calls
| N7 Terms(abc)                     :      0.017u      0.000s      0.017w   2048 calls
| T3(d) Terms(abc)                  :      0.000u      0.000s      0.003w   2048 calls
cchbar                              :      0.050u      0.083s      0.136w      4 calls
cclambda                            :      0.150u      0.100s      0.203w      4 calls
| ABCD:new                          :      0.017u      0.000s      0.015w     36 calls
| | ABCD:S                          :      0.000u      0.000s      0.001w     36 calls
| | ABCD:A                          :      0.000u      0.000s      0.001w     36 calls
| | ABCD:axpy                       :      0.017u      0.000s      0.009w     36 calls
ccdensity                           :      0.083u      0.133s      0.152w      4 calls

**************************************************************************************

Host: sophon

Timers On : Sun Feb  5 17:58:25 2023
Timers Off: Sun Feb  5 18:23:51 2023

Wall Time:     1525.92 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.183u      0.000s      0.054w     19 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.039w     77 calls
DFH: initialize()                   :      0.250u      0.050s      0.181w     19 calls
DFH: AO Construction                :      0.017u      0.017s      0.021w     19 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.003w     19 calls
HF: Form core H                     :      0.017u      0.000s      0.092w     19 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w     19 calls
HF: Guess                           :      0.800u      0.000s      0.500w     19 calls
SAD Guess                           :      0.783u      0.000s      0.472w     15 calls
HF: Form G                          :      0.883u      0.017s      0.531w    172 calls
JK: D                               :      0.000u      0.000s      0.001w    172 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w    172 calls
JK: JK                              :      0.017u      0.000s      0.015w    172 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.015w    172 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    172 calls
DFH: compute_J                      :      0.000u      0.000s      0.004w    172 calls
DFH: compute_K                      :      0.017u      0.000s      0.006w    172 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    172 calls
RV: Form V                          :      0.850u      0.017s      0.507w      8 calls
Properties                          :      0.133u      0.000s      0.081w   4408 calls
Functional                          :      0.550u      0.017s      0.349w   4408 calls
V_xc                                :      0.150u      0.000s      0.064w   4408 calls
HF: Form F                          :      0.000u      0.000s      0.001w    172 calls
HF: Form D                          :      0.000u      0.000s      0.001w    172 calls
HF: DIIS                            :      0.750u      0.000s      0.434w    157 calls
HF: Form C                          :      0.117u      0.000s      0.041w    157 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      5 calls
Grad: S                             :      0.000u      0.000s      0.000w      5 calls
Grad: JK                            :      0.150u      0.000s      0.272w      5 calls
JKGrad: Amn                         :      0.033u      0.000s      0.021w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.033u      0.000s      0.030w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      5 calls
